feature,mean_importance
feature_3,-0.017647770446940124
feature_52,-0.01231758778322516
feature_92,-0.01088199612702212
feature_99,-0.008112079099985214
feature_87,-0.008052026880120921
feature_102,-0.007923163734528681
feature_41,-0.005289652971381953
feature_8,-0.004755691219684666
feature_114,-0.004729264940678979
feature_109,-0.00435781886601343
feature_147,-0.0032620929681741904
feature_144,-0.002936099710802953
feature_110,-0.002369356241438325
feature_137,-0.0019026627120902085
feature_128,-0.0018956620987224948
feature_44,-0.00184954823847141
feature_112,-0.0016075670125986542
feature_67,-0.0009836879197387739
feature_130,-0.0009709303535810676
feature_115,-0.0005994367110202959
feature_71,-0.000547592193100499
feature_104,-0.000495238169307477
feature_7,-0.0004483506158521777
feature_12,-0.0003934494579950432
feature_91,-0.00032240539462877746
feature_101,-0.00024356831081728814
feature_66,0.0
feature_63,0.0
feature_159,0.0
feature_126,0.0
feature_97,0.0
feature_163,0.0
feature_143,0.0
feature_138,0.0
feature_56,0.0
feature_119,0.0
feature_125,0.0
feature_75,0.0
feature_1,0.0
feature_81,0.0
feature_29,0.0
feature_24,0.0
feature_10,0.0
feature_5,0.0
feature_31,0.0
feature_32,0.0
feature_161,6.0620616349194026e-05
feature_95,8.33098793923348e-05
feature_42,0.00027000905973997293
feature_16,0.0003738870182669274
feature_22,0.0005496159707250037
feature_74,0.0005737459182183713
feature_160,0.0006351756849695356
feature_60,0.0009998042023123155
feature_111,0.001254389603623718
feature_100,0.0014474942315957583
feature_30,0.0017223220544585693
feature_132,0.001732562740586463
feature_14,0.002269676260546483
feature_118,0.003050037349050161
feature_34,0.0033289735985406743
feature_68,0.003715327412961056
feature_152,0.004113918720493359
feature_84,0.004290136861467797
feature_33,0.0055277503419623565
feature_38,0.0057716200102087
feature_82,0.006731488193670465
feature_149,0.007015612868790377
feature_88,0.008183805807143063
feature_36,0.00864971331389599
feature_46,0.0091731793903854
feature_156,0.010124757778985494
feature_98,0.011122464124362751
feature_43,0.011141777470849235
feature_61,0.011206924574505806
feature_50,0.011503646005090217
feature_53,0.013036384782640287
feature_96,0.01431313572768822
feature_135,0.014767276211273207
feature_164,0.016220921190911498
feature_148,0.01637841623712122
feature_39,0.01736292026621413
feature_2,0.0175722473670036
feature_106,0.02043194359136722
feature_76,0.020583951925483568
feature_117,0.021171624404410137
feature_83,0.021345858780589387
feature_79,0.02175279435291442
feature_158,0.022119690476805332
feature_155,0.022949959243337138
feature_59,0.024509377483068206
feature_17,0.024700278836500632
feature_142,0.025201497150177766
feature_40,0.025291605732575117
feature_27,0.026372014878293014
feature_162,0.027466334502179546
feature_25,0.028654598614859417
feature_154,0.028925789986757166
feature_11,0.032539983325929354
feature_134,0.0357649116442972
feature_4,0.04141080904614021
feature_19,0.04519723400624489
feature_133,0.04671485241612192
feature_139,0.05381689056666037
feature_70,0.05461292372750446
feature_108,0.05487928949577654
feature_77,0.05496674527018697
feature_150,0.057036362538907426
feature_103,0.06861653982287655
feature_13,0.07369964283889993
feature_23,0.07685284131936801
feature_131,0.0785937973289168
feature_136,0.08521695702907764
feature_69,0.10411937769373036
feature_15,0.10937403016378137
feature_78,0.11331929679559538
feature_28,0.11906701398439798
feature_80,0.1532669912839407
feature_58,0.16568279580159
