feature,mean_importance
feature_96,-0.003686968249986622
feature_36,-0.0032559831527966933
feature_142,-0.0026492212522085
feature_148,-0.002625302457631884
feature_25,-0.0024172484917714065
feature_95,-0.0023208565587772957
feature_154,-0.0016385898463727954
feature_108,-0.001314985979548533
feature_103,-0.0012435081205990795
feature_67,-0.0011126741964158527
feature_69,-0.0007737735327910222
feature_102,-0.0005964334138034655
feature_134,-0.0005209562418789559
feature_78,-0.0005156068156134897
feature_58,-0.00046460327681470127
feature_39,-0.00044175420547216683
feature_46,-0.0004171485087041127
feature_91,-0.00033891691053944406
feature_104,-0.00031730407152461557
feature_33,-0.00023775647835200253
feature_70,-0.0002138317760908226
feature_7,-0.00021033610205125619
feature_88,-0.00015987803412413902
feature_117,-0.00014820189308162313
feature_99,-6.88336501406539e-05
feature_130,-6.577194200714231e-05
feature_68,-5.1234273303357726e-05
feature_98,-4.349767119427028e-05
feature_164,-3.122794399699202e-05
feature_110,0.0
feature_163,0.0
feature_87,0.0
feature_161,0.0
feature_160,0.0
feature_159,0.0
feature_158,0.0
feature_155,0.0
feature_150,0.0
feature_92,0.0
feature_149,0.0
feature_144,0.0
feature_79,0.0
feature_97,0.0
feature_138,0.0
feature_137,0.0
feature_101,0.0
feature_131,0.0
feature_128,0.0
feature_126,0.0
feature_125,0.0
feature_106,0.0
feature_119,0.0
feature_109,0.0
feature_115,0.0
feature_143,0.0
feature_114,0.0
feature_1,0.0
feature_81,0.0
feature_16,0.0
feature_24,0.0
feature_14,0.0
feature_12,0.0
feature_29,0.0
feature_10,0.0
feature_31,0.0
feature_32,0.0
feature_34,0.0
feature_8,0.0
feature_38,0.0
feature_41,0.0
feature_42,0.0
feature_50,0.0
feature_52,0.0
feature_43,0.0
feature_53,0.0
feature_75,0.0
feature_5,0.0
feature_66,0.0
feature_61,0.0
feature_60,0.0
feature_63,0.0
feature_56,0.0
feature_100,2.636051485533919e-05
feature_3,3.0450209133059403e-05
feature_2,4.260619948870392e-05
feature_82,5.2265522649364016e-05
feature_132,5.561375802809465e-05
feature_4,5.876069952424068e-05
feature_77,7.558298816707776e-05
feature_111,8.419795292247123e-05
feature_59,0.00010169633308283465
feature_22,0.00011572913355224479
feature_156,0.00012480508307870507
feature_139,0.00013244230373166133
feature_71,0.00015392455560165886
feature_44,0.0002047149109124291
feature_19,0.00021219182605940466
feature_76,0.00022112231464199716
feature_74,0.0002627078548234962
feature_162,0.000267113185351997
feature_147,0.0003629814704936507
feature_27,0.00036523197879057
feature_135,0.00043030425443046916
feature_13,0.0005474719881403356
feature_118,0.0007306160995793842
feature_133,0.0012691937649877971
feature_80,0.0013797471580889286
feature_152,0.0016625736792195145
feature_40,0.0016925799439890365
feature_17,0.001866243583911853
feature_30,0.0022201760523966386
feature_11,0.002417398924672476
feature_23,0.0025098204949347116
feature_112,0.0026315967971502372
feature_83,0.0026930054981234353
feature_28,0.003039727911341661
feature_136,0.0035001444156681494
feature_84,0.004547895345708763
feature_15,0.007730273817092926
