feature,mean_importance
feature_4,-0.02549820957158557
feature_81,-0.01194166426898886
feature_109,-0.010605920599959929
feature_114,-0.010306550792137558
feature_162,-0.009454636058176247
feature_41,-0.0089882260350572
feature_106,-0.005637091054158105
feature_110,-0.0055448330597535735
feature_117,-0.004494190745451698
feature_80,-0.004474700239921336
feature_14,-0.00381663291840062
feature_69,-0.003606413039912981
feature_88,-0.003460227950063599
feature_8,-0.003437771883927443
feature_139,-0.0034328469504985915
feature_154,-0.0033767772906698745
feature_156,-0.003315702343127347
feature_164,-0.0031581133224249935
feature_91,-0.0027077947615438357
feature_70,-0.0025685254597671127
feature_42,-0.00232038717558134
feature_135,-0.002305325821686921
feature_136,-0.0022320840841148827
feature_76,-0.0021015247794173852
feature_53,-0.0020128807595321875
feature_133,-0.001954658831641076
feature_134,-0.0018409282236081293
feature_155,-0.001593656012117517
feature_11,-0.0015301011697260503
feature_52,-0.0014976749821162816
feature_150,-0.001496641849899083
feature_84,-0.0012174222647125532
feature_33,-0.0011234227748528447
feature_95,-0.001007170649093636
feature_101,-0.0009363783928509672
feature_132,-0.0008170716305784698
feature_25,-0.0007905129979206115
feature_99,-0.0007504895119470501
feature_32,-0.0006851700157133767
feature_87,-0.0005807815455748155
feature_46,-0.0005768644546213064
feature_36,-0.0005038746261998295
feature_28,-0.000470133723101096
feature_147,-0.00041358545472576226
feature_13,-0.00038165680685273704
feature_15,-0.0003483630880718902
feature_23,-0.0002632698815730361
feature_160,-0.00018513840069056542
feature_137,-0.00017179998526613006
feature_30,-0.00015034072372226425
feature_128,-0.00014270286490756235
feature_131,-1.8694926865148177e-05
feature_97,0.0
feature_138,0.0
feature_125,0.0
feature_10,0.0
feature_119,0.0
feature_143,0.0
feature_126,0.0
feature_5,0.0
feature_159,0.0
feature_24,0.0
feature_1,0.0
feature_56,0.0
feature_163,0.0
feature_63,0.0
feature_66,0.0
feature_29,0.0
feature_31,0.0
feature_75,0.0
feature_161,6.552847098824088e-05
feature_118,9.033540253402527e-05
feature_2,9.32218770675064e-05
feature_61,0.00010403180918632238
feature_152,0.00010488072765633128
feature_78,0.00014176396438432272
feature_58,0.00017396252979562377
feature_38,0.00021549615581015758
feature_16,0.0003067051540026178
feature_103,0.00037796449825751034
feature_71,0.0003910322953158296
feature_111,0.00039753254843395426
feature_100,0.0004056909472495374
feature_22,0.0004434252829180085
feature_40,0.0004800059774586529
feature_130,0.000535673172772011
feature_148,0.0006299518228935153
feature_67,0.0007051825502323083
feature_27,0.0007657721744259938
feature_158,0.0008769056517982321
feature_60,0.0008803349373391444
feature_68,0.0009208907956033574
feature_19,0.0012994583813137784
feature_142,0.0013541601823368944
feature_74,0.0013792472107956755
feature_104,0.0013856071175919916
feature_102,0.0013906996911325464
feature_83,0.0015838914399499248
feature_112,0.0016360526483922833
feature_82,0.0016700665775980727
feature_115,0.0017259983581887183
feature_39,0.0018778808542151636
feature_149,0.002567771166435273
feature_3,0.0030212634321165055
feature_44,0.003149593524140748
feature_34,0.0033076470383461842
feature_108,0.0033094908696166938
feature_17,0.0036013138075687403
feature_98,0.0039412899444587705
feature_59,0.004047872420972887
feature_96,0.004139641039135622
feature_92,0.00429886033967346
feature_7,0.004356308866779779
feature_50,0.00522475488853007
feature_12,0.007556860630067064
feature_79,0.008095844645195482
feature_144,0.009587247036094215
feature_43,0.010828624901120998
feature_77,0.09834130437674267
