feature,mean_importance
feature_84,-0.004405599240866831
feature_99,-0.0015138350360877962
feature_80,-0.0014752898162688321
feature_117,0.0
feature_115,0.0
feature_114,0.0
feature_112,0.0
feature_111,0.0
feature_110,0.0
feature_109,0.0
feature_108,0.0
feature_106,0.0
feature_104,0.0
feature_102,0.0
feature_100,0.0
feature_118,0.0
feature_98,0.0
feature_97,0.0
feature_96,0.0
feature_95,0.0
feature_92,0.0
feature_91,0.0
feature_88,0.0
feature_87,0.0
feature_83,0.0
feature_82,0.0
feature_101,0.0
feature_163,0.0
feature_1,0.0
feature_126,0.0
feature_162,0.0
feature_161,0.0
feature_160,0.0
feature_159,0.0
feature_158,0.0
feature_156,0.0
feature_154,0.0
feature_150,0.0
feature_149,0.0
feature_148,0.0
feature_147,0.0
feature_144,0.0
feature_143,0.0
feature_142,0.0
feature_139,0.0
feature_138,0.0
feature_137,0.0
feature_136,0.0
feature_135,0.0
feature_134,0.0
feature_133,0.0
feature_132,0.0
feature_131,0.0
feature_130,0.0
feature_128,0.0
feature_125,0.0
feature_119,0.0
feature_81,0.0
feature_78,0.0
feature_79,0.0
feature_33,0.0
feature_32,0.0
feature_31,0.0
feature_29,0.0
feature_28,0.0
feature_25,0.0
feature_24,0.0
feature_23,0.0
feature_22,0.0
feature_19,0.0
feature_36,0.0
feature_16,0.0
feature_14,0.0
feature_13,0.0
feature_12,0.0
feature_11,0.0
feature_10,0.0
feature_8,0.0
feature_7,0.0
feature_5,0.0
feature_4,0.0
feature_3,0.0
feature_2,0.0
feature_15,0.0
feature_38,0.0
feature_34,0.0
feature_40,0.0
feature_77,0.0
feature_76,0.0
feature_75,0.0
feature_74,0.0
feature_70,0.0
feature_69,0.0
feature_68,0.0
feature_67,0.0
feature_66,0.0
feature_63,0.0
feature_61,0.0
feature_39,0.0
feature_59,0.0
feature_60,0.0
feature_164,0.0
feature_56,0.0
feature_41,0.0
feature_53,0.0
feature_52,0.0
feature_50,0.0
feature_42,0.0
feature_58,0.0
feature_46,0.0
feature_44,0.0
feature_43,0.0
feature_71,0.0002133216003057381
feature_27,0.001575433068559251
feature_155,0.00172303720607645
feature_30,0.00398596023166875
feature_152,0.00888789019247338
feature_103,0.009362688574823298
feature_17,0.012004742072873453
