feature,mean_importance
feature_2,-0.014530081202640677
feature_100,-0.011795843619495861
feature_136,-0.0051209018727204295
feature_88,-0.004109262692291882
feature_27,-0.004071091084358214
feature_102,-0.0038719421810186282
feature_68,-0.00378247990692544
feature_156,-0.003548616956690154
feature_33,-0.0033653524003109505
feature_112,-0.0027692223325186394
feature_16,-0.002725675763309221
feature_111,-0.0019852764567430013
feature_39,-0.0016645867391556824
feature_67,-0.0016419242898039865
feature_71,-0.0013771504814763524
feature_158,-0.0012837983852953094
feature_164,-0.00110088446396297
feature_24,-0.0010294538863340641
feature_128,-0.0009154064095406422
feature_46,-0.0007875662244019033
feature_8,-0.0007379688057875366
feature_159,-0.0007255836564321605
feature_126,-0.0006962562320822485
feature_117,-0.000624142815659079
feature_95,-0.00036828081923849786
feature_3,-0.00034591153333281
feature_82,-0.00024625549742274266
feature_61,-0.0001774691125628891
feature_60,-0.00011841603550655222
feature_79,-0.00011535172169097052
feature_161,-9.734912531982332e-05
feature_34,-8.234922241983078e-05
feature_160,-5.882629623989999e-05
feature_87,-3.3877411971916516e-05
feature_63,0.0
feature_14,0.0
feature_4,0.0
feature_75,0.0
feature_163,0.0
feature_92,0.0
feature_12,0.0
feature_52,0.0
feature_125,0.0
feature_137,0.0
feature_109,0.0
feature_41,0.0
feature_31,0.0
feature_144,0.0
feature_74,0.00010985974839732293
feature_130,0.0001573204791072147
feature_5,0.00017021876156082528
feature_53,0.00029501751668949974
feature_70,0.0003068296488892841
feature_138,0.0004018950153095169
feature_110,0.00040355933040556733
feature_143,0.00040366311322070914
feature_99,0.000455775167080974
feature_56,0.00047248385648495094
feature_106,0.0004727894191693061
feature_10,0.0005766913125703433
feature_114,0.000621917200376032
feature_149,0.0006390229714455132
feature_118,0.0008587670693522842
feature_81,0.0008771403987907877
feature_135,0.0008908693000676315
feature_133,0.0009711912698798564
feature_77,0.0010053397647258322
feature_162,0.0010188837606726953
feature_36,0.001240505359013433
feature_7,0.001240667478764923
feature_101,0.0012541571519551376
feature_115,0.0014252944994122886
feature_83,0.0014430924814205159
feature_97,0.0015830926221173324
feature_43,0.0015993573498135128
feature_17,0.001599914258963464
feature_98,0.0018366785985337141
feature_22,0.0020953370280592408
feature_42,0.002222143058656867
feature_119,0.002564792623754375
feature_40,0.002693630574025585
feature_50,0.002787341568591639
feature_96,0.002847556402134144
feature_23,0.002909477417048123
feature_29,0.0029151573734296663
feature_66,0.0029151573734296663
feature_108,0.0030011941388020436
feature_78,0.0030282835444270352
feature_134,0.00312937596440479
feature_131,0.0031452649331471516
feature_103,0.003263660064865981
feature_59,0.003625887635011571
feature_19,0.003921146332879521
feature_38,0.004369821000129415
feature_154,0.004455857039724754
feature_152,0.0045596597333702246
feature_76,0.004676595695089336
feature_147,0.005022111539753071
feature_13,0.005144775824888237
feature_11,0.006765796624102771
feature_132,0.00838291119728134
feature_142,0.009657037781883916
feature_150,0.009676149589265793
feature_91,0.010984355307531012
feature_28,0.01113271160509246
feature_44,0.011246876734665668
feature_25,0.01221716885340598
feature_104,0.012286902126663701
feature_84,0.013688036473233467
feature_15,0.014790795429184378
feature_148,0.01680919787977677
feature_139,0.018074275498923865
feature_80,0.01931496641640913
feature_155,0.01989581844582524
feature_58,0.02211512428872884
feature_69,0.02744921366868276
feature_30,0.03811935184153947
