feature,mean_importance
feature_80,-0.008035112411706536
feature_84,-0.005181518309403277
feature_2,-0.004073691263037605
feature_28,-0.00330790588892258
feature_112,-0.003193903660847619
feature_100,-0.0028734470991883753
feature_42,-0.002114040609568457
feature_101,-0.0020747686303772992
feature_136,-0.0016727015398858125
feature_27,-0.001533251050921791
feature_135,-0.0011942724405284099
feature_39,-0.000895771272679502
feature_108,-0.0007628860380238134
feature_77,-0.0006941491252796528
feature_96,-0.0006389709893051876
feature_103,-0.0006259666436245759
feature_111,-0.0006112900564230195
feature_78,-0.0005414309404121909
feature_16,-0.0005065710840608695
feature_59,-0.00048028194270024473
feature_118,-0.0003811952545457409
feature_25,-0.0003753092916180201
feature_44,-0.00035250197396474725
feature_15,-0.00035059133970913867
feature_69,-0.0003020888276004552
feature_99,-0.00027533149292344736
feature_83,-0.0002542825739720644
feature_67,-0.00018851221673585883
feature_133,-0.00018828127813850238
feature_158,-0.0001806941596012912
feature_139,-0.00013837746429889997
feature_162,-0.00013081201719393752
feature_40,-0.000120928711966517
feature_154,-0.00011040745519750317
feature_76,-9.312382518156248e-05
feature_82,-7.172832681696661e-05
feature_110,-4.2034136842206137e-05
feature_33,-3.0302560337469586e-05
feature_148,-1.1458035870326456e-06
feature_52,0.0
feature_106,0.0
feature_109,0.0
feature_14,0.0
feature_114,0.0
feature_117,0.0
feature_12,0.0
feature_125,0.0
feature_126,0.0
feature_128,0.0
feature_131,0.0
feature_132,0.0
feature_10,0.0
feature_8,0.0
feature_137,0.0
feature_138,0.0
feature_143,0.0
feature_144,0.0
feature_147,0.0
feature_149,0.0
feature_150,0.0
feature_5,0.0
feature_4,0.0
feature_160,0.0
feature_161,0.0
feature_3,0.0
feature_24,0.0
feature_98,0.0
feature_164,0.0
feature_79,0.0
feature_61,0.0
feature_63,0.0
feature_66,0.0
feature_43,0.0
feature_68,0.0
feature_41,0.0
feature_70,0.0
feature_71,0.0
feature_75,0.0
feature_56,0.0
feature_38,0.0
feature_34,0.0
feature_81,0.0
feature_163,0.0
feature_60,0.0
feature_95,0.0
feature_53,0.0
feature_92,0.0
feature_31,0.0
feature_87,0.0
feature_115,1.582743194994407e-06
feature_74,1.2450139011566107e-05
feature_159,2.3499552866024232e-05
feature_13,6.553190505678152e-05
feature_156,8.983694114861329e-05
feature_50,0.00010351470567844245
feature_130,0.00012609311138724876
feature_23,0.0001299834407443523
feature_152,0.00017456951752610196
feature_88,0.0002298855619375928
feature_30,0.000284170010763507
feature_119,0.00035356567044253495
feature_22,0.00038451587012753306
feature_19,0.00041326924557090195
feature_142,0.0005154088430432413
feature_46,0.0005272302187953936
feature_91,0.0006634842010942776
feature_7,0.0008873865121066693
feature_58,0.0009091829589707778
feature_36,0.0009160267627539743
feature_134,0.0009547766827742166
feature_97,0.0009768464998606064
feature_102,0.0012101484383441718
feature_17,0.0013440657976988124
feature_11,0.0016034703216437408
feature_155,0.0017057361527223146
feature_104,0.0023773915563797044
feature_29,0.003010415045949255
