feature,mean_importance
feature_101,-0.05283838753699612
feature_83,-0.034741491021517044
feature_100,-0.0343237991224636
feature_128,-0.0263032887311887
feature_74,-0.02522500286572269
feature_8,-0.02445495911196014
feature_147,-0.019464066962503156
feature_36,-0.0191902624708681
feature_16,-0.01765884726484144
feature_115,-0.015620810508148697
feature_84,-0.015300436638830206
feature_27,-0.014910172614297768
feature_117,-0.014644239351189636
feature_40,-0.014243082894605408
feature_87,-0.013503424736052682
feature_53,-0.011376656937229956
feature_3,-0.010501019421832592
feature_17,-0.010032850993759546
feature_103,-0.008481010962590485
feature_162,-0.008475608260347389
feature_30,-0.007958833015777956
feature_160,-0.006873926163850008
feature_71,-0.0064578546490159814
feature_164,-0.006450662602289103
feature_13,-0.006007366595832675
feature_10,-0.003970234873440237
feature_159,-0.0036925316860902946
feature_82,-0.003011588468434301
feature_133,-0.0028570226042434754
feature_19,-0.002240511525306399
feature_126,-0.0014804781512265386
feature_67,-0.0013528913827363098
feature_143,-0.0009637515903015981
feature_34,-0.0007583274436459674
feature_114,-0.0006163621250359519
feature_12,-1.9824142327706795e-11
feature_92,0.0
feature_144,0.0
feature_109,0.0
feature_75,0.0
feature_31,0.0
feature_63,0.0
feature_137,0.0
feature_52,0.0
feature_41,0.0
feature_4,0.0
feature_125,0.0
feature_14,0.0
feature_163,3.5296743305934796e-11
feature_81,0.0004436193078751316
feature_161,0.0006207302493513644
feature_104,0.0006756228553277844
feature_149,0.0007065016678787118
feature_68,0.0013967634657814365
feature_119,0.0014571775297413936
feature_24,0.0016247626096910217
feature_5,0.0016790277026005995
feature_70,0.0023905992349437357
feature_56,0.0024158467535507987
feature_98,0.004016614753118297
feature_150,0.004190389414903883
feature_66,0.004433285858266078
feature_29,0.004623555111028743
feature_2,0.005180533456662762
feature_138,0.006066830728782513
feature_76,0.006522416282500654
feature_43,0.007227899585817976
feature_88,0.007259710559656884
feature_156,0.007457287378977373
feature_99,0.0074913002424009
feature_61,0.007615998719311445
feature_131,0.008519844695111533
feature_135,0.008825787278071573
feature_77,0.009369741329149583
feature_118,0.009370543224046646
feature_44,0.0111640748127237
feature_79,0.012487916961035595
feature_23,0.012555139401019577
feature_97,0.012665824133788028
feature_50,0.013109383900799455
feature_134,0.013999958902079968
feature_130,0.014263221254176183
feature_110,0.014711862300898649
feature_60,0.015320381592434363
feature_38,0.017579327387292752
feature_158,0.019698086488038235
feature_46,0.019708139751405264
feature_78,0.020165267120281882
feature_7,0.021752814687210176
feature_106,0.022262639676511053
feature_111,0.02381914877135456
feature_33,0.025648621412091278
feature_112,0.028731872612927402
feature_59,0.02928846556871232
feature_95,0.029886940127394103
feature_136,0.031186571861916246
feature_11,0.03373942920029203
feature_39,0.0347490870412039
feature_108,0.03748767446436361
feature_148,0.03776782708376789
feature_96,0.041105046807763924
feature_132,0.04249107469205286
feature_22,0.043036252601450276
feature_80,0.051259426905079675
feature_28,0.0552001536229235
feature_91,0.0584171799939468
feature_15,0.0640514446141621
feature_142,0.0701892173044449
feature_42,0.07262345446231092
feature_102,0.07699653930828018
feature_69,0.08581905043065374
feature_139,0.08758785826297802
feature_58,0.10701292312277362
feature_154,0.11153616066118088
feature_155,0.12163852450672322
feature_25,0.1291658850156292
feature_152,0.12959792292516062
