feature,mean_importance
feature_95,-0.0033142859081936927
feature_2,-0.0027085745678354645
feature_80,-0.0026416932748202005
feature_84,-0.00153391577071873
feature_156,-0.0014980515033068188
feature_152,-0.0014448881518752898
feature_27,-0.001388793934538457
feature_88,-0.0012770174434618919
feature_135,-0.001052104448705693
feature_17,-0.0009920933971565126
feature_100,-0.0009765065190311617
feature_111,-0.0008547043510123142
feature_76,-0.0007414583113110496
feature_40,-0.0007387922076862452
feature_108,-0.0007146763076560702
feature_78,-0.0006546332713389891
feature_150,-0.0006225008674136667
feature_136,-0.00036129821888715165
feature_112,-0.0003459632431018544
feature_15,-0.000337752269201852
feature_59,-0.0003260664612036557
feature_102,-0.0003054723572286644
feature_44,-0.0002765399533389612
feature_42,-0.0002563254007625027
feature_22,-0.0002562543975772158
feature_39,-0.00023556235415975735
feature_130,-0.0001673748513941753
feature_68,-0.00014449690235727176
feature_79,-0.00012959150795750497
feature_83,-0.00012202423516822769
feature_28,-0.00010137492697603889
feature_154,-9.517452113789737e-05
feature_110,-9.306991491762063e-05
feature_16,-8.785692275523616e-05
feature_36,-8.06494102219002e-05
feature_13,-7.495097667167271e-05
feature_69,-6.741603744568892e-05
feature_139,-6.603910103586408e-05
feature_3,-6.463594777441627e-05
feature_134,-5.4060596952565376e-05
feature_159,-5.319143162272333e-05
feature_71,-4.487955061946991e-05
feature_98,-4.402372747036587e-05
feature_126,-4.07134954317101e-05
feature_161,-4.071275112216277e-05
feature_99,-3.407476108079344e-05
feature_56,-3.3364023206194915e-05
feature_162,-3.2936430443264444e-05
feature_82,-3.274878011421123e-05
feature_34,-3.065557850052691e-05
feature_158,-2.9797227481775936e-05
feature_61,-2.46009833337002e-05
feature_46,-2.4574022798651285e-05
feature_148,-2.3894699229876083e-05
feature_128,-2.142762214201177e-05
feature_114,-1.8168421185693618e-05
feature_160,-9.072003904497806e-06
feature_143,-6.601944549133876e-06
feature_23,-5.553275824565773e-06
feature_103,-7.555280500337602e-07
feature_33,-2.283162189975485e-07
feature_109,0.0
feature_14,0.0
feature_43,0.0
feature_106,0.0
feature_12,0.0
feature_24,0.0
feature_8,0.0
feature_75,0.0
feature_70,0.0
feature_10,4.4408920985006264e-17
feature_4,4.4408920985006264e-17
feature_144,4.4408920985006264e-17
feature_52,4.4408920985006264e-17
feature_81,4.4408920985006264e-17
feature_63,4.4408920985006264e-17
feature_19,4.4408920985006264e-17
feature_31,8.881784197001253e-17
feature_131,8.881784197001253e-17
feature_41,8.881784197001253e-17
feature_92,8.881784197001253e-17
feature_163,8.881784197001253e-17
feature_125,1.3322676295501878e-16
feature_137,1.7763568394002506e-16
feature_101,7.052270287744022e-07
feature_117,3.56209139478203e-06
feature_60,7.760385784205681e-06
feature_87,1.5536768795465506e-05
feature_5,1.6734015087438436e-05
feature_53,1.7212739872496386e-05
feature_164,3.8302307577264826e-05
feature_38,4.276412114374572e-05
feature_138,4.7732839573777494e-05
feature_50,4.838015488526359e-05
feature_67,5.858950642356753e-05
feature_96,7.237749451300956e-05
feature_149,7.36640400253119e-05
feature_25,8.875103034586829e-05
feature_115,0.00010741450718718682
feature_119,0.00011412661070466789
feature_91,0.00012281312597344217
feature_133,0.00012930585416501828
feature_30,0.0001351132957222223
feature_58,0.00013602497029685523
feature_11,0.00014790363449574962
feature_118,0.0001730407553751867
feature_97,0.00020137213811586286
feature_74,0.00022013935093578851
feature_142,0.00024981472413028173
feature_77,0.000263077012105617
feature_7,0.00027152093004141343
feature_132,0.0003758233675618339
feature_155,0.0003930771451617243
feature_147,0.00043240700662074973
feature_66,0.0004353169097441878
feature_29,0.0005912177365531956
feature_104,0.0026599989372742884
