feature,mean_importance
feature_67,-0.009928199636755241
feature_82,-0.006241379327151364
feature_74,-0.006012173719586756
feature_42,-0.004414434990301697
feature_38,-0.003266458341767997
feature_60,-0.003252702695973264
feature_114,-0.0029642248982028273
feature_150,-0.002705457149330215
feature_101,-0.002665367330456059
feature_79,-0.0025749528739736237
feature_33,-0.00237821951447712
feature_99,-0.0022934817982907417
feature_10,-0.002260785212910754
feature_22,-0.0021692154899248806
feature_11,-0.0017017832771793362
feature_2,-0.0016624101486425237
feature_61,-0.0016401186265444956
feature_39,-0.0014351215141318984
feature_12,-0.0014115184529368996
feature_109,-0.0013679095400200402
feature_59,-0.001245094462278784
feature_161,-0.0012310515659599286
feature_159,-0.00120127427241985
feature_43,-0.0011965051973454432
feature_68,-0.00115926675747966
feature_132,-0.001147166301585134
feature_52,-0.0010164501306574535
feature_3,-0.0008785887323768283
feature_13,-0.0008229403527087343
feature_56,-0.0007872508309616944
feature_115,-0.0006996409701798267
feature_5,-0.0005232344937736056
feature_76,-0.00045002146865198435
feature_118,-0.00035718106709663465
feature_96,-0.0003411952574197574
feature_87,-0.0002700105095441607
feature_27,-0.00011762605958729467
feature_138,0.0
feature_110,0.0
feature_97,0.0
feature_4,0.0
feature_92,0.0
feature_163,0.0
feature_81,0.0
feature_125,0.0
feature_8,0.0
feature_50,0.0
feature_128,0.0
feature_29,0.0
feature_75,0.0
feature_106,0.0
feature_53,0.0
feature_149,0.0
feature_66,0.0
feature_63,0.0
feature_32,0.0
feature_14,0.0
feature_137,0.0
feature_144,9.012662603740118e-05
feature_126,0.00016397223706228204
feature_130,0.00019750621340470788
feature_40,0.00022872073393753745
feature_16,0.00024033005498718117
feature_98,0.00024572176493489197
feature_119,0.000306511655088304
feature_160,0.0004545792489075051
feature_24,0.0004870085667993074
feature_112,0.0006464784859848916
feature_83,0.0009292128408305622
feature_143,0.0011168457897063888
feature_95,0.0012269172119957262
feature_34,0.0016367618106629678
feature_71,0.0018689852530422435
feature_164,0.001949369645747323
feature_46,0.0020038554049919277
feature_131,0.0024327364615134963
feature_7,0.0026829863924379806
feature_152,0.0028526124577345604
feature_156,0.00291216004693049
feature_28,0.0030571434573579913
feature_158,0.003385671086308184
feature_117,0.003617825805020569
feature_134,0.0037639521129899213
feature_77,0.00386756079387629
feature_147,0.004278464532790105
feature_80,0.004297745632616224
feature_23,0.004806823900941027
feature_100,0.00485749049565265
feature_133,0.004884937018186708
feature_103,0.005400690708133293
feature_108,0.006083359177697556
feature_102,0.0061661649476710155
feature_44,0.006504773877637593
feature_36,0.00696102456172718
feature_162,0.007355205922820263
feature_142,0.00820979843370324
feature_58,0.008306441707327883
feature_148,0.008870081761884663
feature_91,0.009182441187463964
feature_111,0.009672555286169083
feature_17,0.010148738053731643
feature_136,0.010472492281081314
feature_88,0.010599774105473659
feature_135,0.010888648596858942
feature_15,0.010896126364516912
feature_19,0.010903491256863828
feature_70,0.012017088460863024
feature_155,0.01262297017939198
feature_139,0.013067413555682217
feature_30,0.014334749407684644
feature_84,0.01463677862205275
feature_69,0.022934379115598258
feature_154,0.024668166472282226
feature_25,0.043297669350436954
feature_78,0.05038102190512368
feature_104,0.05535955322674657
