feature,mean_importance
feature_96,-0.010280240544110253
feature_152,-0.009496747543675799
feature_46,-0.005946733775973811
feature_148,-0.003333823723188756
feature_74,-0.0019888672606845235
feature_28,-0.0014124563914546418
feature_11,-0.0012849069823862359
feature_111,-0.001231014926392371
feature_101,-0.0011349590502362172
feature_59,-0.001119912492908881
feature_23,-0.0010722200987470566
feature_136,-0.001008940848188189
feature_147,-0.0009731340227562502
feature_22,-0.0009323702202123751
feature_33,-0.0008508509708313738
feature_43,-0.0007462366944103848
feature_104,-0.0006783467621978457
feature_44,-0.0006205512322151385
feature_99,-0.000516347138769735
feature_15,-0.0004406947812645168
feature_143,-0.00042677599045739536
feature_79,-0.0004256485553493228
feature_17,-0.00038197268384969617
feature_144,-0.0003679275295905171
feature_126,-0.00034739194826802764
feature_83,-0.0002494262242938472
feature_134,-0.00022996560465182725
feature_36,-0.0001746387460181964
feature_3,-0.00017249952002127423
feature_2,-0.00013309505908352116
feature_7,-0.00010084568227459733
feature_39,-9.532771631661773e-05
feature_13,-8.981528086953184e-05
feature_95,-8.865206008099591e-05
feature_38,-3.8317216880079386e-05
feature_61,-3.210139970017955e-05
feature_131,-2.410849738825327e-05
feature_114,-1.2027866166341995e-05
feature_53,0.0
feature_137,0.0
feature_24,0.0
feature_92,0.0
feature_19,0.0
feature_16,0.0
feature_97,0.0
feature_98,0.0
feature_14,0.0
feature_12,0.0
feature_10,0.0
feature_128,0.0
feature_8,0.0
feature_106,0.0
feature_5,0.0
feature_109,0.0
feature_110,0.0
feature_4,0.0
feature_125,0.0
feature_87,0.0
feature_52,0.0
feature_138,0.0
feature_163,0.0
feature_56,0.0
feature_150,0.0
feature_50,0.0
feature_60,0.0
feature_119,0.0
feature_63,0.0
feature_66,0.0
feature_67,0.0
feature_68,0.0
feature_161,0.0
feature_149,0.0
feature_155,0.0
feature_75,0.0
feature_34,0.0
feature_32,0.0
feature_159,0.0
feature_29,0.0
feature_160,0.0
feature_81,0.0
feature_70,0.0
feature_117,0.0
feature_71,3.50093415586894e-05
feature_82,7.822951555858104e-05
feature_80,8.107003599651108e-05
feature_76,8.204740014456924e-05
feature_58,0.00012395512988150337
feature_27,0.00013405337486176449
feature_100,0.00018643317201973985
feature_88,0.00019467901855718672
feature_77,0.0002209392882508876
feature_133,0.0002398999511376676
feature_164,0.00025118919369746526
feature_40,0.00025251327348536635
feature_162,0.00027287437681549064
feature_42,0.00028991011959957904
feature_69,0.0004138489500342235
feature_130,0.0004313896238270942
feature_158,0.0005019321291521717
feature_78,0.0005567841098183202
feature_132,0.0005667248545081716
feature_103,0.0006635019484865001
feature_115,0.0007455567612450143
feature_30,0.0010840382469571087
feature_118,0.001244681514831747
feature_156,0.001251611344213277
feature_135,0.0016852380583923577
feature_142,0.0017894602535728499
feature_139,0.001793534349011594
feature_25,0.0021942479744525125
feature_91,0.0022023065353073967
feature_102,0.002593949962848363
feature_154,0.002719490199456098
feature_84,0.0038541387998285437
feature_108,0.005032256696703374
feature_112,0.00543101040923073
