feature,mean_importance
feature_25,-0.0019633920270899275
feature_134,-0.0016028852447279806
feature_82,-0.0015270421306100347
feature_78,-0.0015175897491783719
feature_154,-0.0014050306933352185
feature_136,-0.0012507303990931362
feature_10,-0.0012380138051195644
feature_7,-0.0010992969009312238
feature_103,-0.0010390214276716492
feature_60,-0.0010338373761076714
feature_38,-0.0010238277501302573
feature_30,-0.000876601235125385
feature_15,-0.0008188911867858639
feature_56,-0.0007455894481771086
feature_79,-0.0007415494162832381
feature_155,-0.0007094451079646902
feature_117,-0.0006590404866070543
feature_52,-0.0006552960520121332
feature_96,-0.0006443101336753188
feature_36,-0.0006367476758021961
feature_39,-0.000582520549617227
feature_161,-0.0005642695950979881
feature_74,-0.0005226536928547354
feature_108,-0.0005127268524881323
feature_114,-0.0004825039177334123
feature_13,-0.00047613180286338875
feature_164,-0.0004446186479576841
feature_133,-0.0004274916569083409
feature_131,-0.0004058776097681793
feature_70,-0.0004051693657197486
feature_152,-0.0004007070260144019
feature_159,-0.0003741321500111194
feature_61,-0.0003688346240404705
feature_88,-0.00035788379191861177
feature_23,-0.00035631018475328345
feature_115,-0.00034295545139833016
feature_143,-0.0002986405528754954
feature_148,-0.0002952018165929715
feature_132,-0.00029163874644404507
feature_150,-0.0002904157606402169
feature_3,-0.00022601899171519334
feature_5,-0.00022481318666609518
feature_24,-0.00022346110369948492
feature_102,-0.00018737314373344914
feature_19,-0.0001833604705472336
feature_33,-0.0001464230274272449
feature_87,-0.0001439681630104772
feature_95,-0.00014264282378175785
feature_119,-0.00013447368238841406
feature_98,-0.0001167738026452092
feature_126,-9.555047331799571e-05
feature_99,-8.038323476866616e-05
feature_16,-5.929254197130085e-05
feature_12,-4.570538597783447e-05
feature_34,-3.883854422075395e-05
feature_144,-1.9639768072288177e-05
feature_71,-9.764145945201364e-06
feature_163,-6.7780251934213e-06
feature_125,0.0
feature_50,0.0
feature_53,0.0
feature_29,0.0
feature_8,0.0
feature_149,0.0
feature_110,0.0
feature_137,0.0
feature_106,0.0
feature_138,0.0
feature_128,0.0
feature_14,0.0
feature_66,0.0
feature_97,0.0
feature_75,0.0
feature_32,0.0
feature_81,0.0
feature_92,0.0
feature_4,0.0
feature_139,1.0353587085809579e-05
feature_76,1.1152484294729703e-05
feature_63,1.696117573706246e-05
feature_156,4.282856200781282e-05
feature_43,5.873873686339515e-05
feature_11,6.557836005911532e-05
feature_109,7.97853916081781e-05
feature_46,9.862519802315007e-05
feature_147,0.00015009527991445283
feature_59,0.00015996873543113743
feature_91,0.0001683234618936602
feature_100,0.0001994671762161282
feature_58,0.0002078547495895311
feature_142,0.00021784958266080068
feature_160,0.00023413679937620558
feature_44,0.00024130351600257783
feature_42,0.0002474653903456137
feature_83,0.0002776382571139546
feature_101,0.00027910134893716076
feature_77,0.0002924767491609526
feature_135,0.0003514138090457308
feature_2,0.000356416169139262
feature_22,0.00041278834400957363
feature_17,0.00042532231892584705
feature_80,0.00043228804887807115
feature_68,0.0005170645357277959
feature_130,0.0005586992709372574
feature_158,0.0006035411773749555
feature_162,0.0006694814349891942
feature_111,0.0007297519812338394
feature_27,0.000917419694123911
feature_104,0.000966513291754989
feature_118,0.0012533873694798193
feature_69,0.0013071822386632626
feature_67,0.0013142962983052175
feature_28,0.0016898428044362034
feature_40,0.0017471205261032185
feature_84,0.0025447570870586133
feature_112,0.003494251079608368
