feature,mean_importance
feature_74,-0.0028757650207225536
feature_115,-0.0019740512177951696
feature_130,-0.0017570755558639294
feature_143,-0.0012352590937227959
feature_43,-0.0007064044078207487
feature_126,-0.0006833596642036533
feature_164,-0.00011208898399521772
feature_114,0.0
feature_111,0.0
feature_110,0.0
feature_109,0.0
feature_108,0.0
feature_106,0.0
feature_103,0.0
feature_102,0.0
feature_101,0.0
feature_99,0.0
feature_98,0.0
feature_97,0.0
feature_96,0.0
feature_95,0.0
feature_92,0.0
feature_91,0.0
feature_88,0.0
feature_87,0.0
feature_84,0.0
feature_100,0.0
feature_117,0.0
feature_119,0.0
feature_163,0.0
feature_162,0.0
feature_161,0.0
feature_160,0.0
feature_159,0.0
feature_158,0.0
feature_156,0.0
feature_155,0.0
feature_154,0.0
feature_152,0.0
feature_150,0.0
feature_149,0.0
feature_148,0.0
feature_144,0.0
feature_139,0.0
feature_138,0.0
feature_137,0.0
feature_136,0.0
feature_134,0.0
feature_133,0.0
feature_132,0.0
feature_131,0.0
feature_128,0.0
feature_125,0.0
feature_118,0.0
feature_81,0.0
feature_2,0.0
feature_79,0.0
feature_38,0.0
feature_34,0.0
feature_33,0.0
feature_32,0.0
feature_30,0.0
feature_29,0.0
feature_27,0.0
feature_25,0.0
feature_24,0.0
feature_23,0.0
feature_39,0.0
feature_22,0.0
feature_16,0.0
feature_15,0.0
feature_14,0.0
feature_13,0.0
feature_12,0.0
feature_10,0.0
feature_8,0.0
feature_5,0.0
feature_4,0.0
feature_3,0.0
feature_19,0.0
feature_42,0.0
feature_36,0.0
feature_82,0.0
feature_76,0.0
feature_75,0.0
feature_71,0.0
feature_70,0.0
feature_69,0.0
feature_68,0.0
feature_67,0.0
feature_66,0.0
feature_44,0.0
feature_63,0.0
feature_60,0.0
feature_61,0.0
feature_53,0.0
feature_78,0.0
feature_46,0.0
feature_50,0.0
feature_52,0.0
feature_56,0.0
feature_77,0.0
feature_58,0.0
feature_59,0.00016916352653186805
feature_7,0.00017604929401642265
feature_104,0.00033979454676860146
feature_83,0.0005089410081023704
feature_28,0.0030256422678386573
feature_11,0.0030555088618184458
feature_17,0.004026785600059845
feature_147,0.004686993794000127
feature_135,0.006627132171842476
feature_142,0.008215868654088387
feature_80,0.009534729357093407
feature_40,0.012987523486839469
feature_112,0.014449049121957635
