feature,mean_importance
feature_68,-0.003329666183406932
feature_137,-0.0019384948460677176
feature_25,-0.001935304825632933
feature_40,-0.0016919336186399293
feature_3,-0.0015766746211423933
feature_36,-0.0011650901278588588
feature_59,-0.0011215517186346168
feature_53,-0.001104992023026341
feature_160,-0.0008469479428092619
feature_100,-0.0008442738234564207
feature_117,-0.0007567754055603614
feature_101,-0.0007415491665999863
feature_8,-0.0006745428099342199
feature_164,-0.00048703281303001943
feature_61,-0.00048162016337425226
feature_71,-0.00045655431225064544
feature_14,-0.0004484317429937601
feature_126,-0.0003314899665622928
feature_111,-0.000244892843636757
feature_50,-0.00020391364920651077
feature_60,-0.00018863516478062614
feature_125,-0.00017316740412942622
feature_39,-0.00013875642413858636
feature_114,-0.00013397052821160216
feature_109,-0.0001292478230703775
feature_161,-9.740645062805697e-05
feature_88,-8.380739720790232e-05
feature_75,0.0
feature_52,0.0
feature_63,0.0
feature_56,0.0
feature_159,0.0
feature_163,0.0
feature_92,0.0
feature_1,0.0
feature_81,0.0
feature_12,0.0
feature_31,0.0
feature_32,0.0
feature_16,0.0
feature_43,0.0
feature_41,0.0
feature_133,2.5961798449269937e-06
feature_83,7.704503604566426e-06
feature_87,2.612517669704495e-05
feature_128,9.1706965852012e-05
feature_5,0.00022478379665860082
feature_95,0.000340358651043049
feature_99,0.00046988371460363607
feature_149,0.0005131878309855064
feature_106,0.0005158186532374209
feature_134,0.0005179046343203985
feature_4,0.000518582255045974
feature_79,0.0005772162876705345
feature_7,0.0005778416966590871
feature_19,0.0005839994404786885
feature_130,0.0006249885967815061
feature_46,0.000633781293004887
feature_158,0.0006466938988180626
feature_144,0.0009689343207149204
feature_67,0.001093447943186332
feature_10,0.0012133252410140738
feature_74,0.0012245866610510526
feature_2,0.0012830750730994378
feature_143,0.0012907345109607782
feature_119,0.0014128900700796532
feature_98,0.0014694300475758038
feature_131,0.0015186882935586787
feature_24,0.0015571064369954701
feature_138,0.0015983557825884009
feature_97,0.0016580515974901288
feature_34,0.0017463846977709085
feature_110,0.0018218484053931672
feature_115,0.0018263329011622975
feature_82,0.0019970659012226834
feature_118,0.002125566011878366
feature_77,0.0024735726891260247
feature_108,0.0024823416835559444
feature_156,0.002484665740184333
feature_22,0.002760359802319723
feature_13,0.003044776793451387
feature_23,0.004164279689911199
feature_142,0.0044535124535331596
feature_44,0.0047832032291781346
feature_29,0.005154297336591984
feature_66,0.005154297336591984
feature_102,0.005164791038442163
feature_150,0.005525650415964023
feature_84,0.006421786203844038
feature_17,0.0067133268069873965
feature_132,0.006852031296749672
feature_147,0.007769947362585361
feature_96,0.007830728016765588
feature_112,0.008748587570881839
feature_42,0.009294452786323192
feature_76,0.009600817565045938
feature_135,0.009838409701495809
feature_38,0.009841923778518512
feature_155,0.00998997916689639
feature_152,0.010225594565732177
feature_11,0.010249534530564253
feature_103,0.011485917508698939
feature_27,0.013062702047138108
feature_136,0.013844102433429794
feature_30,0.014202525113560594
feature_162,0.014538091736737568
feature_154,0.016438204535110447
feature_80,0.01767002230583321
feature_148,0.017788967383820874
feature_91,0.02157216665584074
feature_33,0.02161201505558319
feature_28,0.021805487446264003
feature_70,0.0241664730455331
feature_58,0.02569218820222021
feature_104,0.028800825714999024
feature_139,0.031118423095925652
feature_78,0.03957618427477971
feature_15,0.04004234120180579
feature_69,0.08019897759055636
