feature,mean_importance
feature_39,-0.005327679016299491
feature_84,-0.002806647650846683
feature_102,-0.002752713756590941
feature_111,-0.0023920333592347466
feature_25,-0.0020475394033563797
feature_117,-0.0018240369401694156
feature_23,-0.001270233150836697
feature_53,-0.001113584409451862
feature_68,-0.0007188113061216139
feature_10,-0.0006391422705674277
feature_79,-0.0005949949984805248
feature_2,-0.0005039554354328679
feature_135,-0.0004458276289462049
feature_87,-0.0004343325041466617
feature_50,-0.00030499471800791154
feature_114,-0.0002313772632497102
feature_19,-0.00023121812364488293
feature_75,0.0
feature_66,0.0
feature_63,0.0
feature_56,0.0
feature_52,0.0
feature_1,0.0
feature_92,0.0
feature_106,0.0
feature_125,0.0
feature_128,0.0
feature_131,0.0
feature_137,0.0
feature_159,0.0
feature_161,0.0
feature_163,0.0
feature_43,0.0
feature_81,0.0
feature_41,0.0
feature_8,0.0
feature_12,0.0
feature_16,0.0
feature_32,0.0
feature_31,0.0
feature_150,4.568487769209817e-05
feature_28,7.624909907670841e-05
feature_133,9.390622485314637e-05
feature_13,0.00014416539811401563
feature_99,0.00018863387840601932
feature_5,0.00021068718603971525
feature_144,0.00022431748699269782
feature_4,0.000258605699207326
feature_126,0.0003736844194936584
feature_164,0.0004925556152191923
feature_60,0.0005886063331378199
feature_77,0.0006454971947817967
feature_14,0.0007907137179363755
feature_119,0.0008803552409664573
feature_34,0.0009628910146536995
feature_71,0.0009709076253522131
feature_139,0.0009977532248456543
feature_3,0.0010541118517512604
feature_158,0.0011246276776397668
feature_38,0.001129736007315163
feature_98,0.001130376749497275
feature_109,0.0011964285065404034
feature_100,0.0012125454157426053
feature_61,0.0012930251149154692
feature_136,0.0013847418962960934
feature_95,0.001386993796900926
feature_110,0.0014500140895734592
feature_149,0.0014666319628557467
feature_97,0.0015371650170539653
feature_115,0.0016197042298077946
feature_58,0.0017599546606382078
feature_74,0.0018184583740621374
feature_160,0.001829872433527857
feature_112,0.0024812893151417103
feature_7,0.002657609106940839
feature_44,0.0026830576202791613
feature_138,0.00283497976920013
feature_22,0.002955448848026743
feature_143,0.0030903506546066327
feature_155,0.003316269565531549
feature_67,0.0037496012054549777
feature_154,0.003967662832573771
feature_148,0.004233829371720121
feature_40,0.004414250729857327
feature_101,0.004433692555747726
feature_132,0.004442058959898176
feature_24,0.004469766970315448
feature_88,0.004506722100611205
feature_134,0.00535126940563555
feature_82,0.005365341299387039
feature_104,0.005417295317019333
feature_118,0.005472234208426218
feature_70,0.005487709940440589
feature_76,0.005704206377757792
feature_30,0.005879666615854396
feature_83,0.006358964223099672
feature_142,0.007022222944724765
feature_91,0.0075825018090991845
feature_147,0.007786013363457078
feature_130,0.007788786845151696
feature_59,0.008032686600895289
feature_156,0.008412497025920063
feature_46,0.00959171408147923
feature_27,0.009628131165581078
feature_33,0.009643123591911662
feature_103,0.010272231520622465
feature_29,0.010558493196248886
feature_36,0.010628711109076372
feature_108,0.010887045073832402
feature_17,0.011132552416403606
feature_42,0.011589818346542557
feature_11,0.011788582080047938
feature_78,0.012466590364212849
feature_152,0.01389014632445531
feature_69,0.014745844547799392
feature_162,0.015421741837396086
feature_80,0.016082393310635323
feature_96,0.017680187017330075
feature_15,0.0408163167238218
