feature,mean_importance
feature_95,-0.042728510806680074
feature_4,-0.02750228023569763
feature_111,-0.021161018324791715
feature_36,-0.018078278922669132
feature_71,-0.017360727689754985
feature_61,-0.017177059689371044
feature_164,-0.014563892147459078
feature_110,-0.012710045167958928
feature_100,-0.011635875583087828
feature_53,-0.00982340088137632
feature_125,-0.009512458308602766
feature_8,-0.008511668226000246
feature_106,-0.008445955520321702
feature_128,-0.008016683589262196
feature_14,-0.005556598451876971
feature_87,-0.004793821352863903
feature_155,-0.0038141059321570745
feature_77,-0.0025010916562074213
feature_101,-0.00207198007277678
feature_137,-0.0019956869928128285
feature_114,-0.001974264774450152
feature_126,-0.0012587256931043457
feature_150,-0.0012500122296108084
feature_161,-0.0010073821280547346
feature_28,-0.0009066530369310488
feature_144,-0.00025411280794442883
feature_119,-3.964314906910182e-05
feature_163,0.0
feature_75,0.0
feature_159,0.0
feature_63,0.0
feature_56,0.0
feature_92,0.0
feature_52,0.0
feature_1,0.0
feature_81,0.0
feature_12,0.0
feature_41,0.0
feature_43,0.0
feature_16,0.0
feature_31,0.0
feature_32,0.0
feature_68,6.940046007342104e-06
feature_138,2.4026390855969026e-05
feature_160,0.00010383882738995709
feature_23,0.0002958091468585167
feature_39,0.0012443305242185066
feature_2,0.0015283353130082222
feature_83,0.0015309440884836878
feature_46,0.0018620943206760555
feature_115,0.0019106606601898778
feature_149,0.0022512173459749985
feature_5,0.002705389946008596
feature_3,0.0028328584653946275
feature_158,0.003045564940132017
feature_156,0.0031559841833166844
feature_131,0.003162754329671591
feature_99,0.003360107844140936
feature_133,0.003465827771255592
feature_13,0.0035039249273763227
feature_40,0.003561807013925611
feature_102,0.004288800521625458
feature_97,0.004357438487070642
feature_10,0.004399912199367195
feature_79,0.004914899080676172
feature_143,0.005372965632652216
feature_7,0.005729710373155417
feature_108,0.005785060904954742
feature_38,0.005796859492297202
feature_50,0.005803363993712019
feature_34,0.006548557256202692
feature_117,0.006819279002032941
feature_118,0.007508963036092853
feature_91,0.007543603899229678
feature_67,0.007773162849316284
feature_109,0.007866174402911152
feature_74,0.008814874259368421
feature_24,0.009299635122687722
feature_19,0.009395136530844717
feature_135,0.009469869966973122
feature_88,0.009622164748998107
feature_136,0.009725574601669295
feature_58,0.009978066267295204
feature_132,0.010007040576614612
feature_29,0.010379792523035026
feature_78,0.0109487113921515
feature_84,0.011386026498347458
feature_98,0.011566443322501696
feature_17,0.012128921055722719
feature_44,0.012285585150148614
feature_66,0.012438954803156843
feature_42,0.013229230369470634
feature_82,0.014437013119929797
feature_162,0.015400440648725455
feature_147,0.015522039430917367
feature_148,0.019928227900878427
feature_11,0.019967739320965582
feature_27,0.02041545225633632
feature_103,0.021294361826401563
feature_60,0.021354750983266023
feature_134,0.02155839085161988
feature_76,0.0216617760702698
feature_154,0.02429239366780389
feature_25,0.025720166720982762
feature_33,0.030039081012379797
feature_70,0.03763514148700668
feature_59,0.03948683455584288
feature_15,0.04184789060851455
feature_130,0.048573858367479204
feature_80,0.05125740676951063
feature_104,0.0588806487324323
feature_96,0.06999449291640136
feature_30,0.07192496650400355
feature_22,0.07517043387129818
feature_112,0.07760640628864465
feature_152,0.08218312977259164
feature_139,0.0849238055462282
feature_142,0.10770771906610528
feature_69,0.11132992497858255
