feature,mean_importance
feature_39,-0.0009726633650752436
feature_108,-0.00044623983490521546
feature_7,-0.0002201365467115135
feature_150,-0.00020683185139538373
feature_147,-0.0001921803448541759
feature_134,-0.00014941903984051487
feature_144,-0.00012195497671099175
feature_130,-0.00010656823374999291
feature_137,-0.00010511022478296717
feature_69,-9.099690082976508e-05
feature_68,-6.970285972140999e-05
feature_114,-4.5370605099925855e-05
feature_53,-3.8502346030044873e-05
feature_155,-2.8951821741118877e-05
feature_99,-1.6749433251295186e-05
feature_160,-1.007955526723947e-05
feature_87,-6.7439478299125e-06
feature_101,-1.8073338854396326e-06
feature_163,0.0
feature_63,0.0
feature_60,0.0
feature_75,0.0
feature_56,0.0
feature_79,0.0
feature_67,0.0
feature_1,0.0
feature_106,0.0
feature_117,0.0
feature_125,0.0
feature_128,0.0
feature_131,0.0
feature_138,0.0
feature_143,0.0
feature_159,0.0
feature_161,0.0
feature_92,0.0
feature_52,0.0
feature_81,0.0
feature_164,0.0
feature_14,0.0
feature_32,0.0
feature_12,0.0
feature_10,0.0
feature_34,0.0
feature_16,0.0
feature_13,0.0
feature_50,0.0
feature_8,0.0
feature_41,0.0
feature_4,0.0
feature_3,0.0
feature_43,0.0
feature_31,0.0
feature_11,2.6598182973902595e-06
feature_80,3.1713207986339143e-06
feature_100,4.522147089103257e-06
feature_19,5.201659330156261e-06
feature_24,1.0912713605293334e-05
feature_61,1.787418896062043e-05
feature_58,3.135393491264793e-05
feature_5,3.325398041842398e-05
feature_22,3.873618571232917e-05
feature_126,4.3731568533589285e-05
feature_23,6.0237418400488354e-05
feature_33,6.152366436040779e-05
feature_74,6.914281607919292e-05
feature_98,7.973623405193031e-05
feature_97,8.186796769948934e-05
feature_133,0.0001042580930442405
feature_119,0.00010593280519013426
feature_82,0.00011298772836378923
feature_83,0.00011770513775619663
feature_154,0.00012061493425106207
feature_40,0.00012104557672620864
feature_2,0.00012313814150379798
feature_102,0.00012920081501670565
feature_15,0.0001737364813189757
feature_142,0.000184407958947963
feature_111,0.00019023344038195943
feature_27,0.00020224831405237786
feature_112,0.00020446976922032788
feature_30,0.0002122678523703403
feature_158,0.00022219720690173084
feature_149,0.00023196328170205227
feature_84,0.00023564465728131978
feature_135,0.0002381701191211505
feature_46,0.00024360845514190821
feature_44,0.00027105491953975934
feature_132,0.00027813319933329695
feature_88,0.0002809989558290482
feature_109,0.0002820162720111874
feature_118,0.00028425321141387625
feature_115,0.00029127807211386524
feature_77,0.0003175494635806686
feature_110,0.00031894710193718366
feature_59,0.0003303008468867663
feature_136,0.00034029027014215174
feature_70,0.0003448302304858153
feature_42,0.0003693613414351038
feature_71,0.00043043424256490327
feature_139,0.0004777135845920988
feature_76,0.0005460771555671595
feature_66,0.0005939771209924949
feature_103,0.0006037071324373145
feature_95,0.0006479706421847365
feature_25,0.0006612859985181352
feature_29,0.000687651573029413
feature_28,0.000760355089200937
feature_38,0.0009189539330548335
feature_96,0.000979159768820681
feature_91,0.0012195982813994366
feature_78,0.001333776157740285
feature_156,0.0013535129804188805
feature_162,0.001978956744071514
feature_152,0.0021740983577676954
feature_148,0.002281984546728788
feature_36,0.002871478859311871
feature_17,0.0035429430753798562
feature_104,0.004340936960975661
